Question,Predicted Answer,Predicted Option
"Trong mô hình nhà thông minh, IoT chủ yếu đóng vai trò gì?",B,Kết nối Internet và quản lý thiết bị từ xa
"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",B,RFID và nhận dạng khuôn mặt/vân tay
Bộ cảm biến trong nhà thông minh thực hiện chức năng gì và bộ truyền động có vai trò gì?,B,"Bộ cảm biến lưu trữ dữ liệu, bộ truyền động hiển thị dữ liệu"
Nội dung chính của bài báo nghiên cứu Public_001 về IoT trong xây dựng nhà thông minh là gì?,A,Giới thiệu các ứng dụng cụ thể của điện toán đám mây
"Dựa vào thông tin trong tài liệu Public_001, hãy tính số bài báo trung bình mỗi lớp trong nghiên cứu được đề cập.",D,90-100
"Theo tài liệu Public_002, học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?",D,NIST Cybersecurity Framework
"Dựa trên tài liệu Public_002, mô tả học phần Cơ sở dữ liệu nâng cao, hãy liệt kê các loại CSDL không được đề cập trong nội dung học phần này.",D,CSDL quan hệ truyền thống
Nêu chi tiết nội dung đào tạo về bảo mật web và bảo mật cơ sở dữ liệu trong tài liệu Public_002.,A,OWASP Top 10 / CSDL NoSQL
Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,B,"Công nghệ thông tin (CSDL, mạng, bảo mật, dữ liệu lớn, IoT, học máy)"
"Trong tài liệu Public_002, đối với đoạn liệt kê các học phần từ số 47 đến 81, nếu các học phần này được trải đều trên 7 trang, trung bình mỗi trang mô tả bao nhiêu học phần?",C,7
Điểm BLEU được dùng để đánh giá chất lượng bản dịch trong tài liệu Public_003 là gì?,B,Một loại dữ liệu song ngữ
Công cụ nào được nhóm tác giả của tài liệu Public_003 sử dụng để huấn luyện các hệ dịch nơ ron?,D,Fairseq
Điểm BLEU và công cụ huấn luyện hệ dịch nơ ron trong nghiên cứu này là gì?,C,Một phương pháp đánh giá tự động chất lượng dịch máy / TensorFlow
Nội dung chính của tài liệu Public_003 là gì?,B,"Đề xuất phương pháp thích ứng miền mới cho dịch máy nơ ron Anh – Việt, tận dụng dữ liệu đơn ngữ ngoài miền để cải thiện chất lượng dịch"
"Theo kết quả thử nghiệm, hệ dịch Adapt_System cải thiện bao nhiêu điểm BLEU so với Baseline_G trong miền pháp lý?",B,1.37
Công nghệ in bê tông 3D được thực hiện theo quy trình nào?,A,Gia công cắt gọt vật liệu
Công nghệ nào được phát triển tại Đại học Loughborough (Anh)?,A,Contour Crafting
"Công nghệ in bê tông 3D nào vừa cho phép kiểm soát tốt cấu trúc sản phẩm, vừa sử dụng bê tông cốt liệu sợi tổng hợp cường độ cao?",D,FDM
Nội dung chính của bài báo Public_004 là gì?,B,"Giới thiệu, phân tích ưu nhược điểm các công nghệ in bê tông 3D trong xây dựng, so sánh tính khả thi áp dụng ở Việt Nam"
"Trong tài liệu, ưu điểm của công nghệ Contour Crafting so với Concrete Printing là gì?",D,Quy mô in lớn hơn
OCR là viết tắt của gì trong bài báo này?,A,Optical Character Recognition
"Giải pháp thử nghiệm tại Học viện Ngân hàng được lựa chọn là gì, theo tài liệu Public_005?",D,Tesseract
"Công nghệ nào vừa cho phép máy tính tự động nhận biết ký tự trên hình ảnh, vừa có khả năng đọc hiểu dữ liệu chữ viết tay và chữ in?",C,Faster R-CNN
